N,NSTEPS,Threads,Time(s),OMP_PROC_BIND,OMP_PLACES
64,50,1,0.237671,false,cores
64,50,1,0.238194,false,threads
64,50,1,0.238108,false,sockets
64,50,1,0.238004,true,cores
64,50,1,0.218583,true,threads
64,50,1,0.220844,true,sockets
64,50,1,0.219596,close,cores
64,50,1,0.241672,close,threads
64,50,1,0.218255,close,sockets
64,50,1,0.222782,spread,cores
64,50,1,0.219815,spread,threads
64,50,1,0.240792,spread,sockets
64,50,1,0.218810,master,cores
64,50,1,0.228268,master,threads
64,50,1,0.217874,master,sockets
64,50,2,0.244717,false,cores
64,50,2,0.244978,false,threads
64,50,2,0.244752,false,sockets
64,50,2,0.247099,true,cores
64,50,2,0.245727,true,threads
64,50,2,0.244747,true,sockets
64,50,2,0.246820,close,cores
64,50,2,0.244467,close,threads
64,50,2,0.245066,close,sockets
64,50,2,0.244162,spread,cores
64,50,2,0.245377,spread,threads
64,50,2,0.244546,spread,sockets
64,50,2,0.245754,master,cores
64,50,2,0.371932,master,threads
64,50,2,0.246768,master,sockets
64,50,4,0.224151,false,cores
64,50,4,0.223451,false,threads
64,50,4,0.226290,false,sockets
64,50,4,0.224642,true,cores
64,50,4,0.225151,true,threads
64,50,4,0.224797,true,sockets
64,50,4,0.229985,close,cores
64,50,4,0.226413,close,threads
64,50,4,0.225603,close,sockets
64,50,4,0.223839,spread,cores
64,50,4,0.226128,spread,threads
64,50,4,0.225100,spread,sockets
64,50,4,0.225229,master,cores
64,50,4,0.219758,master,threads
64,50,4,0.224101,master,sockets
64,50,8,0.226535,false,cores
64,50,8,0.224640,false,threads
64,50,8,0.226044,false,sockets
64,50,8,0.227675,true,cores
64,50,8,0.226376,true,threads
64,50,8,0.230483,true,sockets
64,50,8,0.232731,close,cores
64,50,8,0.233210,close,threads
64,50,8,0.233277,close,sockets
64,50,8,0.232435,spread,cores
64,50,8,0.232819,spread,threads
64,50,8,0.232298,spread,sockets
64,50,8,0.233194,master,cores
64,50,8,0.244837,master,threads
64,50,8,0.233322,master,sockets
64,50,16,0.235624,false,cores
64,50,16,0.235650,false,threads
64,50,16,0.237182,false,sockets
64,50,16,0.235353,true,cores
64,50,16,0.235440,true,threads
64,50,16,0.236202,true,sockets
64,50,16,0.237675,close,cores
64,50,16,0.235452,close,threads
64,50,16,0.237683,close,sockets
64,50,16,0.235932,spread,cores
64,50,16,0.235056,spread,threads
64,50,16,0.234865,spread,sockets
64,50,16,0.235674,master,cores
64,50,16,0.237448,master,threads
64,50,16,0.243618,master,sockets
64,50,32,0.243552,false,cores
64,50,32,0.255647,false,threads
64,50,32,0.274040,false,sockets
64,50,32,0.287431,true,cores
64,50,32,0.275936,true,threads
64,50,32,0.261639,true,sockets
64,50,32,0.239306,close,cores
64,50,32,0.248326,close,threads
64,50,32,0.269875,close,sockets
64,50,32,0.283053,spread,cores
64,50,32,0.290617,spread,threads
64,50,32,0.269623,spread,sockets
64,50,32,0.252197,master,cores
64,50,32,0.258769,master,threads
64,50,32,0.248236,master,sockets
